#{"t_start": 1702243112.2229602, "env_id": "None"}
r,l,t
21.0,1002,7841.288734
22.0,1002,7856.900736
27.0,1002,7876.004328
19.0,1002,7891.646769
27.0,1002,7907.278845
27.0,1002,7922.90411
24.0,1002,7938.526484
21.0,1002,7954.138555
27.0,1002,7969.740687
21.0,1002,7985.374453
21.0,1002,8000.986547
19.0,1002,8020.123176
21.0,1002,8035.736633
18.0,1002,8051.363498
28.0,1002,8066.972223
18.0,1002,8082.585024
20.0,1002,8098.213109
31.0,1002,8113.817838
26.0,1002,8129.43311
30.0,1002,8148.578587
23.0,1002,8164.213881
21.0,1002,8179.834605
24.0,1002,8195.467443
30.0,1002,8211.069479
30.0,1002,8226.69675
22.0,1002,8242.311733
23.0,1002,8257.93249
20.0,1002,8277.025137
27.0,1002,8292.644751
19.0,1002,8308.278818
19.0,1002,8323.893788
24.0,1002,8339.522139
26.0,1002,8355.14762
21.0,1002,8370.784414
23.0,1002,8386.377433
21.0,1002,8405.544262
27.0,1002,8421.162678
22.0,1002,8436.803925
20.0,1002,8452.419635
19.0,1002,8468.043873
19.0,1002,8483.663156
26.0,1002,8499.292615
23.0,1002,8514.935688
19.0,1002,8534.001261
19.0,1002,8549.600943
18.0,1002,8565.218901
22.0,1002,8580.850868
23.0,1002,8596.478142
20.0,1002,8612.099201
22.0,1002,8627.715261
19.0,1002,8643.332973
24.0,1002,8662.433525
29.0,1002,8678.049821
23.0,1002,8693.670901
20.0,1002,8709.294436
23.0,1002,8724.911293
23.0,1002,8740.540772
17.0,1002,8756.134548
16.0,1002,8771.746579
26.0,1002,8787.370524
18.0,1002,8806.563473
19.0,1002,8822.199494
20.0,1002,8837.816235
22.0,1002,8853.433867
23.0,1002,8869.056948
15.0,1002,8884.694117
17.0,1002,8900.310432
23.0,1002,8915.942355
27.0,1002,8935.093972
26.0,1002,8950.712355
21.0,1002,8966.332555
16.0,1002,8981.960075
19.0,1002,8997.582591
30.0,1002,9013.183648
21.0,1002,9028.809499
19.0,1002,9044.439018
26.0,1002,9063.550062
24.0,1002,9079.170414
22.0,1002,9094.78422
25.0,1002,9110.409009
25.0,1002,9126.037437
20.0,1002,9141.639125
21.0,1002,9157.259568
16.0,1002,9172.883736
24.0,1002,9192.038017
16.0,1002,9207.670884
22.0,1002,9223.299096
24.0,1002,9238.910311
16.0,1002,9254.524756
21.0,1002,9270.136772
21.0,1002,9285.759345
26.0,1002,9301.414158
15.0,1002,9320.604543
22.0,1002,9336.228947
18.0,1002,9351.854372
20.0,1002,9367.473499
23.0,1002,9383.091183
21.0,1002,9398.68372
17.0,1002,9414.30972
15.0,1002,9429.920907
18.0,1002,9449.141749
18.0,1002,9464.764297
20.0,1002,9480.380455
21.0,1002,9496.002072
21.0,1002,9511.621653
16.0,1002,9527.244411
20.0,1002,9542.870173
29.0,1002,9558.493149
25.0,1002,9574.113154
25.0,1002,9593.255896
18.0,1002,9608.878549
21.0,1002,9624.470558
23.0,1002,9640.098247
21.0,1002,9655.704351
23.0,1002,9671.320607
17.0,1002,9686.939687
23.0,1002,9702.566082
21.0,1002,9721.68143
15.0,1002,9737.311533
19.0,1002,9752.95366
21.0,1002,9768.588462
17.0,1002,9784.182054
18.0,1002,9799.786971
16.0,1002,9815.3933
27.0,1002,9831.001303
19.0,1002,9850.215751
21.0,1002,9865.82466
26.0,1002,9881.448794
20.0,1002,9897.052191
20.0,1002,9912.674734
17.0,1002,9928.296731
20.0,1002,9943.913324
21.0,1002,9959.542989
24.0,1002,9978.595216
22.0,1002,9994.207199
20.0,1002,10009.834676
18.0,1002,10025.453596
18.0,1002,10041.054193
25.0,1002,10056.687138
18.0,1002,10072.309696
16.0,1002,10087.929702
20.0,1002,10107.034436
14.0,1002,10122.66551
24.0,1002,10138.291999
20.0,1002,10153.915276
20.0,1002,10169.552894
22.0,1002,10185.169191
21.0,1002,10200.769708
17.0,1002,10216.387446
24.0,1002,10231.956045
17.0,1002,10251.133998
19.0,1002,10266.75737
17.0,1002,10282.372998
18.0,1002,10297.994661
21.0,1002,10313.615947
14.0,1002,10329.248913
23.0,1002,10344.863023
14.0,1002,10360.485388
16.0,1002,10379.619158
18.0,1002,10395.241749
16.0,1002,10410.852211
15.0,1002,10426.487562
19.0,1002,10442.108524
18.0,1002,10457.720356
17.0,1002,10473.342754
15.0,1002,10488.962079
27.0,1002,10508.095776
22.0,1002,10523.70102
19.0,1002,10539.345534
15.0,1002,10554.988414
20.0,1002,10570.62134
16.0,1002,10586.249822
15.0,1002,10601.849972
17.0,1002,10617.480139
16.0,1002,10636.640084
16.0,1002,10652.274128
21.0,1002,10667.889304
19.0,1002,10683.514918
20.0,1002,10699.121361
16.0,1002,10714.772066
17.0,1002,10730.385941
15.0,1002,10745.985119
18.0,1002,10765.090314
15.0,1002,10780.708453
15.0,1002,10796.332164
17.0,1002,10811.971951
26.0,1002,10827.600711
1030.0,836,10840.634415
19.0,1002,10856.260243
23.0,1002,10871.901183
20.0,1002,10887.50708
20.0,1002,10906.84164
20.0,1002,10922.483979
16.0,1002,10938.100125
20.0,1002,10953.721993
16.0,1002,10969.455911
20.0,1002,10985.092204
17.0,1002,11000.707223
23.0,1002,11016.329658
15.0,1002,11035.49646
20.0,1002,11051.111355
19.0,1002,11066.699716
17.0,1002,11082.317862
18.0,1002,11097.940905
16.0,1002,11113.580994
15.0,1002,11129.206276
23.0,1002,11144.832507
20.0,1002,11163.936946
21.0,1002,11179.558968
20.0,1002,11195.170977
24.0,1002,11210.781097
