Moving to root at: [0.18381771835321278, 0.08346979607541362, 0.1695]

Step 5: X=0.17041, Y=0.11438, Z=0.17068, Drop: 0, Error=0.023982
Step 6: X=0.17030, Y=0.11632, Z=0.17069, Drop: 0, Error=0.022036
Step 7: X=0.17021, Y=0.11811, Z=0.17070, Drop: 0, Error=0.020248
Step 8: X=0.17013, Y=0.11976, Z=0.17070, Drop: 0, Error=0.018607
Step 9: X=0.17006, Y=0.12126, Z=0.17070, Drop: 0, Error=0.017100
Step 10: X=0.17000, Y=0.12265, Z=0.17071, Drop: 0, Error=0.015717
Step 11: X=0.16995, Y=0.12392, Z=0.17071, Drop: 0, Error=0.014447
Step 12: X=0.16990, Y=0.12509, Z=0.17070, Drop: 0, Error=0.013282
Step 13: X=0.16986, Y=0.12617, Z=0.17070, Drop: 0, Error=0.012212
Step 14: X=0.16983, Y=0.12715, Z=0.17070, Drop: 0, Error=0.011231
Step 15: X=0.16980, Y=0.12806, Z=0.17070, Drop: 0, Error=0.010330
Step 16: X=0.16978, Y=0.12889, Z=0.17069, Drop: 0, Error=0.009504
Step 17: X=0.16976, Y=0.12965, Z=0.17069, Drop: 0, Error=0.008747
Step 18: X=0.16974, Y=0.13035, Z=0.17068, Drop: 0, Error=0.008053
Step 19: X=0.16973, Y=0.13100, Z=0.17068, Drop: 0, Error=0.007416
Step 20: X=0.16971, Y=0.13159, Z=0.17067, Drop: 0, Error=0.006833
Step 21: X=0.16971, Y=0.13213, Z=0.17066, Drop: 0, Error=0.006298
Step 22: X=0.16970, Y=0.13263, Z=0.17066, Drop: 0, Error=0.005809
Step 23: X=0.16969, Y=0.13309, Z=0.17065, Drop: 0, Error=0.005361
Step 24: X=0.16969, Y=0.13351, Z=0.17064, Drop: 0, Error=0.004952
Goal [0.16915823393612928, 0.13829857637552906, 0.1695] reached in 24 steps.
Dropping liquid at the root tip.
Moving to root at: [0.16771537129665257, 0.1658283955367449, 0.1695]

Run 4: Moving from [0.16968884 0.13350987 0.17064328] to goal [0.16771537129665257, 0.1658283955367449, 0.1695]
Step 0: X=0.16951, Y=0.13407, Z=0.17066, Drop: 0, Error=0.031832
Step 1: X=0.16934, Y=0.13518, Z=0.17068, Drop: 0, Error=0.030710
Step 2: X=0.16919, Y=0.13686, Z=0.17069, Drop: 0, Error=0.029034
Step 3: X=0.16906, Y=0.13894, Z=0.17070, Drop: 0, Error=0.026950
Step 4: X=0.16894, Y=0.14102, Z=0.17071, Drop: 0, Error=0.024866
Step 5: X=0.16884, Y=0.14304, Z=0.17072, Drop: 0, Error=0.022850
Step 6: X=0.16875, Y=0.14489, Z=0.17073, Drop: 0, Error=0.020998
Step 7: X=0.16867, Y=0.14659, Z=0.17073, Drop: 0, Error=0.019297
Step 8: X=0.16860, Y=0.14816, Z=0.17073, Drop: 0, Error=0.017735
Step 9: X=0.16854, Y=0.14959, Z=0.17073, Drop: 0, Error=0.016302
Step 10: X=0.16849, Y=0.15091, Z=0.17073, Drop: 0, Error=0.014986
Step 11: X=0.16845, Y=0.15213, Z=0.17073, Drop: 0, Error=0.013778
Step 12: X=0.16841, Y=0.15324, Z=0.17073, Drop: 0, Error=0.012669
Step 13: X=0.16838, Y=0.15426, Z=0.17073, Drop: 0, Error=0.011652
Step 14: X=0.16835, Y=0.15520, Z=0.17072, Drop: 0, Error=0.010719
Step 15: X=0.16833, Y=0.15606, Z=0.17072, Drop: 0, Error=0.009862
Step 16: X=0.16831, Y=0.15685, Z=0.17071, Drop: 0, Error=0.009077
Step 17: X=0.16829, Y=0.15758, Z=0.17071, Drop: 0, Error=0.008357
Step 18: X=0.16828, Y=0.15825, Z=0.17070, Drop: 0, Error=0.007697
Step 19: X=0.16827, Y=0.15886, Z=0.17070, Drop: 0, Error=0.007092
Step 20: X=0.16826, Y=0.15942, Z=0.17069, Drop: 0, Error=0.006538
Step 21: X=0.16825, Y=0.15994, Z=0.17068, Drop: 0, Error=0.006030
Step 22: X=0.16825, Y=0.16041, Z=0.17068, Drop: 0, Error=0.005565
Step 23: X=0.16825, Y=0.16085, Z=0.17067, Drop: 0, Error=0.005141
Step 24: X=0.16824, Y=0.16125, Z=0.17066, Drop: 0, Error=0.004752
Goal [0.16771537129665257, 0.1658283955367449, 0.1695] reached in 24 steps.
Dropping liquid at the root tip.
Moving to root at: [0.17065881108118508, 0.19820623316660255, 0.1695]

Run 5: Moving from [0.16824347 0.1612509  0.17066084] to goal [0.17065881108118508, 0.19820623316660255, 0.1695]
Step 0: X=0.16841, Y=0.16181, Z=0.17069, Drop: 0, Error=0.036485
Step 1: X=0.16857, Y=0.16293, Z=0.17072, Drop: 0, Error=0.035364
Step 2: X=0.16872, Y=0.16460, Z=0.17075, Drop: 0, Error=0.033687
Step 3: X=0.16886, Y=0.16668, Z=0.17077, Drop: 0, Error=0.031602
Step 4: X=0.16899, Y=0.16876, Z=0.17079, Drop: 0, Error=0.029517
Step 5: X=0.16912, Y=0.17085, Z=0.17081, Drop: 0, Error=0.027433
Step 6: X=0.16924, Y=0.17293, Z=0.17083, Drop: 0, Error=0.025349
Step 7: X=0.16936, Y=0.17499, Z=0.17084, Drop: 0, Error=0.023293
Step 8: X=0.16947, Y=0.17688, Z=0.17084, Drop: 0, Error=0.021404
Step 9: X=0.16957, Y=0.17861, Z=0.17085, Drop: 0, Error=0.019669
Step 10: X=0.16967, Y=0.18021, Z=0.17085, Drop: 0, Error=0.018076
Step 11: X=0.16977, Y=0.18167, Z=0.17085, Drop: 0, Error=0.016613
Step 12: X=0.16986, Y=0.18302, Z=0.17085, Drop: 0, Error=0.015270
Step 13: X=0.16995, Y=0.18425, Z=0.17085, Drop: 0, Error=0.014038
Step 14: X=0.17003, Y=0.18539, Z=0.17085, Drop: 0, Error=0.012906
Step 15: X=0.17011, Y=0.18643, Z=0.17084, Drop: 0, Error=0.011868
Step 16: X=0.17018, Y=0.18738, Z=0.17084, Drop: 0, Error=0.010916
Step 17: X=0.17025, Y=0.18826, Z=0.17083, Drop: 0, Error=0.010042
Step 18: X=0.17032, Y=0.18907, Z=0.17083, Drop: 0, Error=0.009241
Step 19: X=0.17038, Y=0.18981, Z=0.17082, Drop: 0, Error=0.008506
Step 20: X=0.17044, Y=0.19049, Z=0.17081, Drop: 0, Error=0.007833
Step 21: X=0.17050, Y=0.19111, Z=0.17080, Drop: 0, Error=0.007215
Step 22: X=0.17055, Y=0.19168, Z=0.17079, Drop: 0, Error=0.006650
Step 23: X=0.17060, Y=0.19221, Z=0.17079, Drop: 0, Error=0.006133
Step 24: X=0.17065, Y=0.19269, Z=0.17078, Drop: 0, Error=0.005659
Step 25: X=0.17069, Y=0.19314, Z=0.17077, Drop: 0, Error=0.005226
Step 26: X=0.17073, Y=0.19354, Z=0.17076, Drop: 0, Error=0.004830
Goal [0.17065881108118508, 0.19820623316660255, 0.1695] reached in 26 steps.
Dropping liquid at the root tip.
